"peak_index","seqnames","start","end","width","strand","name","peak_detection","top_peak_col","is_retained_after_pacs"
125053,"chr17",39843133,39846875,3743,"*","chr17:39843133-39846875",11968,4139,TRUE
294623,"chrM",172,6605,6434,"*","chrM:172-6605",11381,9863,TRUE
294624,"chrM",11121,15870,4750,"*","chrM:11121-15870",11161,9864,TRUE
125054,"chr17",39847439,39848921,1483,"*","chr17:39847439-39848921",10464,4140,TRUE
294655,"chrUn_JH584304",59605,60375,771,"*","chrUn_JH584304:59605-60375",10454,9867,TRUE
108362,"chr15",102405389,102407080,1692,"*","chr15:102405389-102407080",8920,3534,TRUE
114501,"chr16",42874702,42876594,1893,"*","chr16:42874702-42876594",8903,3754,TRUE
127249,"chr17",57031569,57032525,957,"*","chr17:57031569-57032525",8284,4227,TRUE
246676,"chr7",25267484,25268676,1193,"*","chr7:25267484-25268676",8271,8135,TRUE
258950,"chr7",127477616,127479291,1676,"*","chr7:127477616-127479291",8261,8641,TRUE
124606,"chr17",34603487,34604655,1169,"*","chr17:34603487-34604655",7983,4095,TRUE
12314,"chr1",131526259,131528219,1961,"*","chr1:131526259-131528219",7827,332,TRUE
114097,"chr16",38088380,38089803,1424,"*","chr16:38088380-38089803",7804,3749,TRUE
6968,"chr1",75316905,75318317,1413,"*","chr1:75316905-75318317",7733,204,TRUE
269003,"chr8",70212200,70213334,1135,"*","chr8:70212200-70213334",7717,8935,TRUE
135353,"chr18",36559603,36560894,1292,"*","chr18:36559603-36560894",7636,4445,TRUE
104690,"chr15",81810292,81812153,1862,"*","chr15:81810292-81812153",7626,3362,TRUE
127057,"chr17",56079037,56079924,888,"*","chr17:56079037-56079924",7578,4209,TRUE
143943,"chr19",11965130,11966083,954,"*","chr19:11965130-11966083",7509,4768,TRUE
241833,"chr6",124828843,124830441,1599,"*","chr6:124828843-124830441",7498,7932,TRUE
209544,"chr4_GL456216_random",15816,17630,1815,"*","chr4_GL456216_random:15816-17630",7478,6894,TRUE
122609,"chr17",25919803,25920841,1039,"*","chr17:25919803-25920841",7470,3980,TRUE
84868,"chr14",21499860,21501544,1685,"*","chr14:21499860-21501544",7464,2778,TRUE
184852,"chr3",107332275,107334392,2118,"*","chr3:107332275-107334392",7371,6060,TRUE
278669,"chr9",13826590,13828484,1895,"*","chr9:13826590-13828484",7362,9306,TRUE
153565,"chr2",25223835,25225663,1829,"*","chr2:25223835-25225663",7359,5050,TRUE
108379,"chr15",102517743,102519035,1293,"*","chr15:102517743-102519035",7352,3537,TRUE
30699,"chr10",80701902,80702985,1084,"*","chr10:80701902-80702985",7312,896,TRUE
